600000  浦发银行
600001 	邯郸钢铁
600162 	香江控股
600163 	福建南纸
600165 	宁夏恒力
600166 	福田汽车
600167 	S沈新开
600168 	武汉控股
600169 	太原重工
600170 	上海建工
600171 	上海贝岭
600172 	黄河旋风
600173 	S*ST丹江
600175 	美都控股
600176 	中国玻纤
600177 	雅戈尔
600178  东安动力
600179  黑化股份
600180  九发股份
600182  S佳通
600183  生益科技
600184  S新华光
600185  海星科技
600186  S莲花味
600188  兖州煤业
600189  吉林森工
600190  锦州港
600191  华资实业
600192  长城电工
600193  创兴科技
600195  中牧股份
600196  复星医药
600197  伊力特
600198  大唐电信
600199  ST金种子
600200  江苏吴中
600201  金宇集团
600202  哈空调
600203  福日股份
600205  S山东铝
600206  有研硅股
600207  安彩高科
600208  中宝股份
600209  *ST罗顿
600210  紫江企业
600211  S藏药业
600212  江泉实业
600215  S长经开
600216  浙江医药
600217  秦岭水泥
600218  全柴动力
600219  南山实业
600220  江苏阳光
600221  海南航空
600222  太龙药业
600223  万杰高科
600225  S*ST天香
600226  升华拜克
600227  赤天化
600228  昌九生化
600229  青岛碱业
600230  沧州大化
600231  凌钢股份
600232  金鹰股份
600233  大杨创世
600234  S*ST天龙
600235  民丰特纸
600236  桂冠电力
600237  铜峰电子
600238  海南椰岛
600239  S红河
600048  保利地产
600240  华业地产
600241  辽宁时代
600242  S*ST华龙
600243  S华鼎
600246  先锋股份
600247  物华股份
600248  S*ST秦丰
600249  两面针
600250  南纺股份
600251  冠农股份
600252  S中恒
600253  天方药业
600255  鑫科材料
600256  广汇股份
600257  洞庭水殖
600258  首旅股份
600259  S*ST聚酯
600260  凯乐科技
600261  浙江阳光
600262  北方股份
600263  路桥建设
600265  景谷林业
600266  北京城建
600267  海正药业
600268  国电南自
600269  赣粤高速
600270  外运发展
600271  航天信息
600272  S开开
600273  华芳纺织
600275  S武昌鱼
600276  恒瑞医药
600277  亿利科技
600278  东方创业
600279  重庆港九
600280  南京中商
600281  太化股份
600282  南钢股份
600283  S钱江水
600284  浦东建设
600285  羚锐股份
600287  江苏舜天
600288  大恒科技
600289  亿阳信通
600290  S苏福马
600291  西水股份
600292  九龙电力
600293  三峡新材
600295  鄂尔多斯
600296  S兰铝
600297  美罗药业
600298  安琪酵母
600299  星新材料
600300  维维股份
600301  南化股份
600302  标准股份
600303  曙光股份
600305  恒顺醋业
600306  商业城
600307  酒钢宏兴
600308  华泰股份
600309  烟台万华
600310  桂东电力
600311  荣华实业
600312  平高电气
600313  SST中农
600315  上海家化
600316  洪都航空
600317  营口港
600318  S巢东
600319  亚星化学
600320  振华港机
600321  国栋建设
600322  天房发展
600323  南海发展
600325  华发股份
600326  西藏天路
600327  大厦股份
600328  兰太实业
600329  中新药业
600330  天通股份
600331  宏达股份
600332  广州药业
600333  S长燃
600335  S鼎盛天
600336  G澳柯玛
600337  美克股份
600338  ST珠峰
600339  天利高新
600340  国祥股份
600343  航天动力
600345  长江通信
600346  大橡塑
600348  国阳新能
600350  山东高速
600351  亚宝药业
600352  浙江龙盛
600353  旭光股份
600354  敦煌种业
600355  精伦电子
600356  恒丰纸业
600357  承德钒钛
600358  国旅联合
600359  新农开发
600360  华微电子
600361  华联综超
600362  江西铜业
600363  联创光电
600365  通葡股份
600366  宁波韵升
600367  红星发展
600368  五洲交通
600369  ST长运
600370  三房巷
600371  华冠科技
600372  昌河股份
600373  鑫新股份
600375  星马汽车
600376  天鸿宝业
600377  宁沪高速
600378  天科股份
600379  S宝光 
600380  健康元
600381  贤成实业
600382  广东明珠
600383  金地集团
600385  ST金泰
600386  北京巴士
600387  海越股份
600388  龙净环保
600389  江山股份
600390  金瑞科技
600391  成发科技
600392  太工天成
600393  东华实业
600395  盘江股份
600396  金山股份
600397  安源股份
600398  凯诺科技
600399  抚顺特钢
600400  红豆股份
600401  江苏申龙
600403  欣网视讯
600405  动力源
600406  S南瑞
600408  安泰集团
600409  三友化工
600410  华胜天成
600415  小商品城
600416  湘电股份
600418  江淮汽车
600419  *ST天宏
600420  现代制药
600421  国药科技
600422  昆明制药
600423  柳化股份
600425  青松建化
600426  华鲁恒升
600428  中远航运
600429  *ST三元
600432  吉恩镍业
600433  冠豪高新
600435  北方天鸟
600436  片仔癀
600438  通威股份
600439  瑞贝卡
600444  国通管业
600446  金证股份
600448  华纺股份
600449  赛马实业
600452  涪陵电力
600455  交大博通
600456  宝钛股份
600458  时代新材
600459  贵研铂业
600460  士兰微
600461  洪城水业
600462  石岘纸业
600463  空港股份
600466  迪康药业
600467  好当家
600468  百利电气
600469  风神股份
600470  六国化工
600472  包头铝业
600475  华光股份
600476  湘邮科技
600477  杭萧钢构
600478  力元新材
600479  千金药业
600480  凌云股份
600481  双良股份
600482  风帆股份
600483  福建南纺
600485  中创信测
600486  扬农化工
600487  亨通光电
600488  天药股份
600489  中金黄金
600490  中科合臣
600491  龙元建设
600493  凤竹纺织
600495  晋西车轴
600496  长江精工
601166  兴业银行
600497  驰宏锌锗
600498  烽火通信
600499  科达机电
600500  中化国际
600501  航天晨光
600502  安徽水利
600503  SST新智
600505  S西昌电
600506  香梨股份
600507  长力股份
600508  上海能源
600509  天富热电
600510  黑牡丹
600511  国药股份
600512  腾达建设
600513  联环药业
600515  *ST一投
600516  S*ST海龙
600517  置信电气
600518  康美药业
600519  贵州茅台
600520  三佳科技
600521  华海药业
600522  中天科技
600523  贵航股份
600525  长园新材
600526  菲达环保
600527  江南高纤
600528  中铁二局
600529  山东药玻
600530  交大昂立
600531  豫光金铅
600532  华阳科技
600533  栖霞建设
600535  天士力
600536  中国软件
600537  海通集团
600538  北海国发
600539  狮头股份
600540  新赛股份
600543  莫高股份
600545  新疆城建
600546  中油化建
600547  山东黄金
600548  深高速
600549  厦门钨业
600550  天威保变
600551  科大创新
600552  方兴科技
600553  太行水泥
600555  九龙山
600556  北生药业
600557  康缘药业
600558  大西洋
600559  裕丰股份
600560  金自天正
600561  江西长运
600562  高淳陶瓷
600563  法拉电子
600565  迪马股份
600566  洪城股份
600567  山鹰纸业
600568  潜江制药
600569  安阳钢铁
600570  恒生电子
600571  信雅达
600572  康恩贝
600573  惠泉啤酒
600575  芜湖港
600576  S*ST庆丰
600577  精达股份
600578  京能热电
600579  黄海股份
600580  卧龙电气
600581  八一钢铁
600582  天地科技
600583  海油工程
600584  长电科技
600585  海螺水泥
600586  金晶科技
600587  新华医疗
600588  用友软件
600589  广东榕泰
600590  泰豪科技
600591  上海航空
600592  龙溪股份
600593  大连圣亚
600594  益佰制药
600595  中孚实业
600596  新安股份
600597  光明乳业
600598  北大荒
600599  浏阳花炮
600600  青岛啤酒
600601  方正科技
600602  广电电子
600603  ST兴业
600604  二纺机
600605  轻工机械
600606  金丰投资
600607  上实医药
600608  上海科技
600609  *ST金杯
600610  中国纺机
600611  大众交通
600612  第一铅笔
600613  永生数据
600614  G*ST鼎立
600615  ST丰华
600616  第一食品
600617  *ST联华
600618  氯碱化工
600619  海立股份
600620  天宸股份
600621  上海金陵
600622  嘉宝集团
600623  轮胎橡胶
600624  复旦复华
600626  申达股份
600627  上电股份
600628  新世界
600630  龙头股份
600631  百联股份
600633  白猫股份
600634  海鸟发展
600635  大众公用
600636  三爱富
600637  广电信息
600638  新黄浦
600639  浦东金桥
600640  中卫国脉
600641  万业企业
600642  申能股份
600643  爱建股份
600644  乐山电力
600645  *ST春花
600647  同达创业
600648  外高桥
600649  原水股份
600650  锦江投资
600651  飞乐音响
600652  爱使股份
600653  申华控股
600654  飞乐股份
600655  豫园商城
600656  *ST源药
600657  *ST天桥
600658  兆维科技
600660  福耀玻璃
600661  交大南洋
600662  强生控股
600663  陆家嘴
600664  S哈药
600665  天地源
600666  西南药业
600667  太极实业
600668  尖峰集团
600671  天目药业
600673  阳之光
600674  川投能源
600675  中华企业
600676  交运股份
600677  航天通信
600678  四川金顶
600679  凤凰股份
600680  上海普天
600681  ST万鸿
600682  南京新百
600683  银泰股份
600684  珠江实业
600685  广船国际
600686  金龙汽车
600687  华盛达
600688  上海石化
600689  上海三毛
600690  青岛海尔
600691  ST东碳
600692  亚通股份
600693  东百集团
600694  大商股份
600695  *ST大江
600696  多伦股份
600697  欧亚集团
600698  ST轻骑
600699  辽源得亨
600701  工大高新
600702  沱牌曲酒
600703  *ST天颐
600704  中大股份
600705  *ST北亚
600706  长安信息
600707  彩虹股份
600708  海博股份
600710  常林股份
600711  *ST雄震
600712  南宁百货
600713  南京医药
600714  金瑞矿业
600715  *ST松辽
600716  耀华玻璃
600717  天津港
600718  东软股份
600719  大连热电
600720  祁连山
601398 工商银行
600721  *ST百花
600722  沧州化工
600723  西单商场
600724  宁波富达
600725  云维股份
600726  华电能源
600727  鲁北化工
600728  *ST新太
600729  重庆百货
600730  中国高科
600731  湖南海利
600732  上海新梅
600733  前锋股份
600734  *ST实达
600735  ST陈香
600736  苏州高新
600737  *ST屯河
600738  兰州民百
600739  辽宁成大
600740  山西焦化
600741  巴士股份
600742  一汽四环
600743  ST幸福
600744  华银电力
600745  *ST天华
600746  江苏索普
600747  大显股份
600748  上实发展
600749  西藏圣地
600750  江中药业
600751  *ST天海
600753  ST冰熊
600754  锦江股份
600755  厦门国贸
600756  浪潮软件
600757  华源发展
600758  ST金帝
600759  *ST华侨
600760  ST黑豹
600761  安徽合力
600763  ST中燕
600764  中电广通
600765  力源液压
600766  *ST烟发
600767  ST运盛
600768  宁波富邦
600769  祥龙电业
600770  综艺股份
600771  东盛科技
600773  *ST金珠
600774  汉商集团
600775  南京熊猫
600776  东方通信
600777  新潮实业
600778  友好集团
600779  水井坊
600780  通宝能源
600781  *ST辅仁
600782  新华股份
600783  鲁信高新
600784  鲁银投资
600785  新华百货
600786  东方锅炉
600787  中储股份
600789  鲁抗医药
600790  轻纺城
600791  天创置业
600792  马龙产业
600793  宜宾纸业
600794  保税科技
600795  国电电力
600796  钱江生化
600797  浙大网新
600798  宁波海运
600800  *ST磁卡
600801  华新水泥
600802  福建水泥
600803  威远生化
600804  鹏博士
600805  悦达投资
600806  交大科技
600807  *ST济百
600808  马钢股份
600809  山西汾酒
600810  神马实业
600811  东方集团
600812  华北制药
600814  杭州解百
600815  厦工股份
600816  安信信托
600817  宏盛科技
600818  上海永久
600819  耀皮玻璃
600820  隧道股份
600821  津劝业
600822  上海物贸
600823  世茂股份
600824  益民百货
600825  新华传媒
600826  兰生股份
600827  友谊股份
600828  成商集团
600829  三精制药
600830  大红鹰
600831  广电网络
600832  东方明珠
600833  第一医药
600834  申通地铁
600835  上海机电
600836  界龙实业
600837  都市股份
600838  上海九百
600839  四川长虹
600840  新湖创业
600841  上柴股份
600842  中西药业
600843  上工申贝
600844  ST大盈
600845  宝信软件
600846  同济科技
600847  ST渝万里
600848  ST自仪
600849  上海医药
600850  华东电脑
600851  海欣股份
600853  龙建股份
600854  春兰股份
600855  航天长峰
600856  长百集团
600857  工大首创
600858  银座股份
600859  王府井
600860  北人股份
600861  北京城乡
600862  ST纵横
600863  内蒙华电
600864  岁宝热电
600865  百大集团
600866  星湖科技
600867  通化东宝
600868  梅雁水电
600869  三普药业
600870  厦华电子
600871  仪征化纤
600872  中炬高新
600873  五洲明珠
600874  创业环保
600875  东方电机
600876  洛阳玻璃
600877  中国嘉陵
600879  火箭股份
600880  博瑞传播
600881  亚泰集团
600882  大成股份
600883  博闻科技
600884  杉杉股份
600885  力诺太阳
600886  国投电力
600887  伊利股份
600888  新疆众和
600889  南京化纤
600890  *ST中房
600891  ST秋林
600892  ST湖科
600893  华润生化
600894  广钢股份
600895  张江高科
600896  中海海盛
600897  厦门空港
600898  三联商社
600900  长江电力
600960  滨州活塞
600961  株冶火炬
600962  国投中鲁
600963  岳阳纸业
600965  福成五丰
600966  博汇纸业
600967  北方创业
600969  郴电国际
600970  中材国际
600971  恒源煤电
600973  宝胜股份
600975  新五丰
600976  武汉健民
600978  宜华木业
600979  广安爱众
600980  北矿磁材
600981  江苏开元
600982  宁波热电
600983  合肥三洋
600984  建设机械
600985  雷鸣科化
600986  科达股份
600987  航民股份
600988  东方宝龙
600990  四创电子
600991  长丰汽车
600992  贵绳股份
600993  马应龙
600995  文山电力
600997  开滦股份
601001  大同煤业
601988  中国银行
601628  中国人寿
601006  大秦铁路

